Name,Address,Postcode,Telephone,Email,Inspections,"Opening Hours","Establishment website",Religion,Headteacher,Neighbourhood,"Eco-Schools status","More about the Eco-Schools programme",Type,"More information",Location
"The Edinburgh Academy Nursery","10 Arboretum Road","EH3 5PL","0131 624 4971",lab@edinburghacademy.org.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,North,,,"Independent School",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.968999,-3.215235"
"The Mary Erskine & Stewart's Melville Nursery",Ravelston,"EH4 3NT","0131 347 5777",prepsecretary@esmgc.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,West,,,"Independent School",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.953949,-3.244082"
"The Owl and The Pussycat Nursery","1 Claverhouse Drive","EH16 6BR","0131 664 1345",owlandpussycatuk@aol.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,South,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.917155,-3.154577"
"The Royal High Primary School Nursery Class","61 Northfield Broadway","EH8 7RX","0131 669 3200",Admin@royalhigh-pri.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.55am-11.30am, 12.25pm-3pm, FT 8.55am-3pm, P1-2 Mon-Thur 8.55am-3pm, Fri 8.55am-12.20pm, P3-7 Mon-Thu 8.55am-3.25pm, Fri 8.55am-12.30pm",http://www.royalhigh-pri.edin.sch.uk/,Non-Denominational,"Joan Brear",East,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.954571,-3.140247"
"The Spinney Lane Nursery School","13a The Spinney","EH17 7LD","0131 664 9102",Admin@spinneylane-nur.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Mon-Fri, 8.55am-11.30am, 12.30pm-3.05pm",,,"Sheena Lowes (Acting)",South,Silver,http://www.edinburgh.gov.uk/info/20049/environmental_education/595/eco-schools_in_edinburgh,"Local Authority Nursery School",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.908403,-3.139291"
"The University of Edinburgh Day Nursery","79/81 Dalkeith Road","EH16 5AL","0131 667 9584",day.nursery@ed.ac.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,South,,,"College/University Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.937061,-3.170533"
"Tollcross Primary School Nursery Class","117 Fountainbridge","EH3 9QG","0131 229 7828",Admin@tollcross.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Gaelic Nur 8.55am-11.30am, 12.40pm-3.15pm, P1-2 Mon-Thur 8.55am-3pm, Fri 8.55am-12.20pm, P3-7 Mon-Thu 8.55am-3.20pm, Fri 8.55am-12.30pm",http://www.tollcross.edin.sch.uk,Non-Denominational,"Alice Brown",South,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.943669,-3.20709"
"Tom Thumb Nursery","The Vennel Hall, Smithsland","EH30 9HU","0131 331 4273",debbieurquhart@talktalk.net,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,West,,,"Playgroup or Part-Time Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.989437,-3.39579"
"Tower House Nursery","438 Lanark Road","EH13 0NJ","0131 441 2200",towernursery@btinternet.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,"South West",,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.908582,-3.271496"
"Towerbank Primary School Nursery Class","Figgate Bank","EH15 1HX","0131 669 1551",Admin@Towerbank.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.55am-11.30am, 12.25pm-3pm, FT 8.55am-3pm, P1-2 Mon-Thur 8.50am-2.50pm, Fri 8.50am-12.10pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.40pm",http://www.towerbank.edin.sch.uk,Non-Denominational,"Gordon McIntyre (Acting)",East,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.954828,-3.111671"
"Trinity Nursery","c/o Wardie Parish Church, Primrose Bank Road","EH5 3JE","0131 551 3847",pamjohnston@blueyonder.co.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,North,,,"Playgroup or Part-Time Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,","
"Trinity Tots Nursery","9 Granton Road","EH5 3QJ","0131 551 3020",trinitytotsLJK@aol.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,North,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.971004,-3.213503"
"Tynecastle Nursery School","15 McLeod Street","EH11 2NJ","0131 337 5461",Admin@tynecastle-nur.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Mon-Fri, 8.55am-3.00pm",,,"Stella Brown",West,"Green Flag",http://www.edinburgh.gov.uk/info/20049/environmental_education/595/eco-schools_in_edinburgh,"Local Authority Nursery School",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.938663,-3.229901"
"Uni-Tots Nursery","University of Edinburgh, Dept. of Psychology, 7 George Square","EH8 9JZ","0131 650 3448",a.cameron@ed.ac.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,South,,,"College/University Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.944416,-3.188445"
"Victoria Quay Nursery","Victoria Quay, Leith Docks","EH6 6QQ","0131 244 0784",beth.pearce@northedinburghchildcare.co.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,North,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,","
"Viewforth Early Years Centre","18 Viewforth Terrace","EH10 4LH","0131 229 6667",,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,"Helen Innes/Fiona Allen",South,Silver,http://www.edinburgh.gov.uk/info/20049/environmental_education/595/eco-schools_in_edinburgh,"Early Years Centre",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.93874,-3.211488"
"Walker Street Nursery","17 Walker Street","EH3 7NE","0131 220 2699",contact@walkerstreetnursery.org.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,North,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.949864,-3.214242"
"Wardie Nursery","Wardie Residents Club, 125 Granton Road","EH5 3NJ","07969 099340",wardienursery@gmail.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,North,,,"Playgroup or Part-Time Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.97612,-3.215921"
"Waterfront Nursery","Edinburgh`s Telford College, 350 West Granton Road","EH5 1QE","0131 559 4080",lynn.muir@ed-coll.ac.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,North,,,"College/University Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.977332,-3.244953"
"Wester Coates Nursery School","13 Wester Coates Terrace","EH12 5LR","0131 346 7398",wcns@hotmail.co.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,West,,,"Playgroup or Part-Time Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.94681,-3.231904"
