"Street Name","Locality","Street Adoption Status","Property Notice Description"
"Alnwickhill View","Alnwickhill","Adopted","ALNWICKHILL VIEWFrom ALNWICKHILL DRIVE extending northwards, with branches eastwards and westwards.Carriageways and adjacent footways adopted for maintenance.Public including all remote footways and interconnecting paths behind properties."
"Alva Place","Broughton","Adopted","ALVA PLACEFrom LONDON ROAD extending northwards to ROSSIE PLACE.Carriageways and adjacent footways adopted for maintenance.Including the Stairway leading to London Road."
"Alva Street","New Town","Adopted","ALVA STREETFrom STAFFORD STREET extending north-eastwards to QUEENSFERRY STREET.Carriageways and adjacent footways adopted for maintenance."
"Alvanley Terrace","Bruntsfield","Adopted","ALVANLEY TERRACEPart of the east side of WHITEHOUSE LOAN from the west end of WARRENDER PARK ROAD extending northwards to the west end of WARRENDER PARK CRESCENT. Carriageways and adjacent footways adopted for maintenance."
"Anchor Close","Old Town","Adopted","ANCHOR CLOSE243 HIGH STREET. Extending northwards in two divisions intersected by COCKBURN STREETterminating at the back wall of the tenements in MARKET STREET.Carriageways and adjacent footways adopted for maintenance."
"Anchorfield","Newhaven","Adopted","ANCHORFIELDPart of the South side of LINDSAY ROAD, from HAWTHORNEVALE extending eastwards and south-eastwardsto the centre line of LINDSAY railway bridge.Carriageways and adjacent footways adopted for maintenance."
"Anderson Place","Bonnington","Adopted","ANDERSON PLACELeith - from BONNINGTON ROAD extending northwards to the centre of the Water of Leith Bridge,including a branch extending westwards 45m or thereby.Carriageways and adjacent footways adopted for maintenance.Excluding the second half of the branch connecting to BONNINGTON ROAD LANE from the west gable of No 6 and outside Nos 8 - 10,"
"Anderson's Close","Tollcross","Adopted","ANDERSON'S CLOSEFrom 14 COWGATE extending southwards to 7 VICTORIA STREET.Carriageways and adjacent footways adopted for maintenance."
"Andrew Wood Court","Newhaven","Adopted","ANDREW WOOD COURTFrom MAIN STREET extending southwards, with branches eastwards and westwards, a cul-de-sac.Carriageways and adjacent footways adopted for maintenance.  Including turning areas & parking."
"Angle Park Terrace","Gorgie","Adopted","ANGLE PARK TERRACEFrom the south end of ARDMILLAN TERRACE extending north-eastwards to the centre lineof HENDERSON TERRACE.Carriageways and adjacent footways adopted for maintenance. Including path from north-east end to DUNDEE TERRACE."
"Angus Villas","Easter Craiglockhart","Adopted","ANGUS VILLAS"
"Ann Street","Stockbridge","Adopted","ANN STREETFrom DEAN PARK CRESCENT extending eastward then south-eastwards to the centre-line of UPPER DEAN TERRACE.Carriageways and adjacent footways adopted for maintenance."
"Ann Terrace","Abbeyhill","Prospectively Adopted","ANN TERRACEFootways: From junction of Spring Gardens and Royal Park Place northwards to footbridge.  Also 2 short footways north to No.s 1 and 5 Royal Park Terrace.Footways adopted for maintenance. Parking courtyards are private."
"Annandale Street","Broughton","Adopted","ANNANDALE STREETFrom Leith Walk extending north-westwards to BELLEVUE ROAD including cul-de-sac extendingnorth-eastwards servicing Nos 68 - 86.Carriageways and adjacent footways adopted for maintenance.Excluding PRIVATE STREET; ANNANDALE STREET LANE adjoining between Nos 12 - 16."
"Annandale Street Lane","Broughton","Private","ANNANDALE STREET LANEPRIVATE STREET.  From ANNANDALE STREET extending north-eastwards to MCDONALD ROAD.Not included for maintenance under the List of Public Roads."
"Annfield","Juniper Green","Adopted","ANNFIELD"
"Annfield","Newhaven","Adopted","ANNFIELDFrom the north end of NEWHAVEN ROAD extending south-eastwards to a cul-de-sac. Further extending aspart of the South side of LINDSAY ROAD to the junction of HAWTHORNEVALE. Carriageways and adjacent footways adopted for maintenance."
"Annfield Street","Newhaven","Adopted","ANNFIELD STREETFrom Pend at No 19 ANNFIELD extending generally southwards and eastwards to HAWTHORNVALE.Carriageways and adjacent footways adopted for maintenance."
"Antigua Street","Albion","Adopted","ANTIGUA STREETPart of the west side of LEITH WALK: from the south-east corner of UNION STREETextending north-eastwards to GAYFIELD SQUARE.Carriageways and adjacent footways adopted for maintenance."
"Appin Lane","Dalry","Adopted","APPIN LANEFrom Slateford Road south-east - a cul-de-sac ending in a double hammerhead including layby and end-on parking.  Cariageways and adjacent footways are adopted for maintenance."
"Appin Place","Dalry","Adopted","APPIN PLACEFrom Slateford Road south-east with spurs to north east and south west with hammerhead including end-on and layby parking.  Parking courtyards are private.Carriageway and adjacent footways are adopted for maintenence."
"Appin Street","Dalry","Adopted","APPIN STREETFrom Slateford Road south-east then south-west - a cul-de-sac with 2 branches south-east. Including parking on north side of carriageway,  2 spaces  at west end and on both sides of west-most branch. Also including the first 8  end-on parking spaces  either side of carriageway of east most branch.  Includes loop of remote service strip. Carriageways & adjacent footways are adopted for maintenance.All other parking spaces & parking court are private."
"Appin Terrace","Slateford","Adopted","APPIN TERRACEFrom SLATEFORD ROAD extending south-eastwards and south-westwards to a cul-de-sac.Carriageways and adjacent footways adopted for maintenance.  Including footpath serving Blocks 5 and 6. Excluding all parking and landscaped areas."
"Arboretum Avenue","Stockbridge","Adopted","ARBORETUM AVENUEFrom the north end of ST BERNARD'S ROW extending northwards to INVERLEITH TERRACE.Carriageways and adjacent footways adopted for maintenance."
"Arboretum Place","Inverleith","Adopted","ARBORETUM PLACEFrom the west end of INVERLEITH PLACE extending northwards to INVERLEITH TERRACE.Carriageways and adjacent footways adopted for maintenance. Including two half-moon sections of carriageway outside west gate entrance to Botanic Gardens."
"Arboretum Road","Inverleith","Adopted","ARBORETUM ROADFrom centre-line of INVERLEITH PLACE extending northwards to FERRY ROAD.Carriageways and adjacent footways adopted for maintenance."
"Archibald Place","Newington","Private","ARCHIBALD PLACEPRIVATE STREET.  From LAURISTON PLACE extending southwards to Nightingale WayNot included for maintenance under the List of Public Roads."
"Arden Street","Bruntsfield","Adopted","ARDEN STREETFrom WARRENDER PARK ROAD extending southwards to SPOTTISWOODE ROAD.Carriageways and adjacent footways adopted for maintenance."
"Ardmillan Place","Gorgie","Adopted","ARDMILLAN PLACEFrom HENDERSON TERRACE extending south-eastwards to ANGLE PARK TERRACE.Carriageways and adjacent footways adopted for maintenance."
"Ardmillan Terrace","Gorgie","Adopted","ARDMILLAN TERRACEFrom GORGIE ROAD extending southwards to SLATEFORD ROAD.Carriageways and adjacent footways adopted for maintenance."
"Ardmillan Terrace Lane","Gorgie","Private","ARDMILLAN TERRACE LANEPRIVATE STREET. From No 8 ARDMILLAN TERRACE extending eastwards to a cul-de-sac.Not included for maintenance under the List of Public Roads."
"Ardshiel Avenue","Clerwood","Adopted","ARDSHIEL AVENUEFrom DOCHART DRIVE extending southwards and eastwards to ALAN BRECK GARDENS including abranch extending westwards to a cul-de-sac.Carriageways and adjacent footways adopted for maintenance."
"Argyle Crescent","Portobello East","Adopted","ARGYLE CRESCENTFrom ST MARKS PLACE extending south-eastwards to BRUNSTANE ROAD.Carriageways and adjacent footways adopted for maintenance.Excluding PRIVATE LANE: ST MARKS PLACE LANE servicing the rear of Nos 8 - 42 (evens)"
"Argyle Park Terrace","Bruntsfield","Adopted","ARGYLE PARK TERRACEFrom ARGYLE PLACE extending westwards to a cul-de-sac.Carriageways and adjacent footways adopted for maintenance.Footway on south side only."
"Argyle Place","Bruntsfield","Adopted","ARGYLE PLACEFrom MELVILLE DRIVE extending southwards to WARRENDER PARK ROAD.Carriageways and adjacent footways adopted for maintenance."
"Argyle Street","Newhaven","Adopted","ARGYLE STREETFrom PORTLAND STREET extending south-eastwards to HOPEFIELD TERRACE.Carriageways and adjacent footways adopted for maintenance."
"Argyll Terrace","Dalry","Private","ARGYLL TERRACEPRIVATE STREET. From DALRY PLACE extending south-westwards servingthe houses in ARGYLE TERRACE.Not included for maintenance under the List of Public Roads."
"Arneil Drive","Royston","Prospectively Adopted","ARNEIL DRIVEPROSPECTIVELY ADOPTABLE: From Crewe Road North east then south-eastwards then east.Not as yet included for maintenance under the List of Public Roads."
"Arneil Place","Royston","Prospectively Adopted","ARNEIL PLACEFrom Arneil Drive northwards then eastwards a cul-de-sac.Not as yet included for maintenance in the List of Public Roads."
"Arnott Gardens","Kingsknowe","Adopted","ARNOTT GARDENSFrom LANARK ROAD extending south-westwards and southwards to KINGSKNOWE DRIVE.Carriageways and adjacent footways adopted for maintenance. Excluding access path between No's 18 and 20 and ground between ARNOTT GARDENS houses and canal."
"Arran Place","Portobello East","Private","ARRAN PLACEPRIVATE COURTYARD. From JAMES STREET near its junction with the PROMENADE, extending south-eastwards.Not included for maintenance under the List of Public Roads."
"Arrol Place","South Queensferry","Adopted","ARROL PLACEFrom ROSEBERY AVENUE extending southwards to DUNDAS AVENUE.Carriageways and adjacent footways adopted for maintenance."
"Arthur Place West","Newington","Adopted","ARTHUR PLACE WEST"
"Arthur Street","Bonnington","Adopted","ARTHUR STREETFrom PILRIG STREET extending north-eastwards to BALFOUR STREET with a branch extendingsouth-eastwards to LEITH WALK.Carriageways and adjacent footways adopted for maintenance. Excluding access lane between No's 14 & 18.Excluding PRIVATE STREET: ARTHUR STREET LANE adjoining at the west gable of No. 42. and to the rear ofNos 32 - 42. Responsibility for maintenance may lie with the adjacent owners."
"Arthur Street Lane","Bonnington","Private","ARTHUR STREET LANEPRIVATE STREET. From southwestern boundary of No. 42  ARTHUR STREET extending north-westwards to a cul-de-sac.Not included for maintenance under the List of Public Roads."
"Ascham Court","Newington","Prospectively Adopted","ASCHAM COURTPROSPECTIVELY ADOPTABLE: Not as yet included for maintenance under the List of Public Roads."
"Ashburnham Gardens","South Queensferry","Adopted","ASHBURNHAM GARDENSFrom STATION ROAD north with 2 branches westwards and 1 short branch north-east. Includes remote footway to Ashburnham Loan at No.24 and footway linking the western ends of both Ashburnham Gardens and Loanand continuing to the northern extent of the site.Carriageways and adjacent footways are adopted for maintenance.  Excluding lane east serving No.6."
"Ashburnham Loan","South Queensferry","Adopted","ASHBURNHAM LOANFrom STATION ROAD northwards turning west & ending in a turning circle with a northward branch between Nos32 and 36, 2 turning heads, end-on parking and lay-by parking. Remote footpaths northward from No.s 36 & 42.  Footway linking to southwards to Ashburnham Gardens at No.13 and 1 linking western ends of both Ashburnham Gardens and Loan and continuing northwards. Carriageways and adjacent footways are adopted for maintenance."
"Ashburnham Road","South Queensferry","Adopted","ASHBURNHAM ROADFrom STATION ROAD extending southwards to ROSEBURY AVENUE.Carriageways and adjacent footways adopted for maintenance."
"Ashfield Grange","Grange","Private","ASHFIELD GRANGEPRIVATE STREET.  At 121 GRANGE LOAN.Not included for maintenance under the List of Public Roads."
"Ashley Drive","Polwarth","Adopted","ASHLEY DRIVEFrom ASHLEY TERRACE extending south-westwards then north-westwards to COWAN ROAD.Carriageways and adjacent footways adopted for maintenance."
"Ashley Gardens","Polwarth","Adopted","ASHLEY GARDENSFrom ASHLEY GROVE extending south-westwards to ASHLEY DRIVE.Carriageways and adjacent footways adopted for maintenance."
"Ashley Grange","","Adopted","ASHLEY GRANGEFrom Lanark Road West opposite No.516b southwards to hammerhead with bellmouth to private parking area on west side.  Carriageways and adjacent footways are adopted for maintenance."
"Ashley Grove","Polwarth","Adopted","ASHLEY GROVEFrom COWAN ROAD extending south-eastwards to ASHLEY DRIVE.Carriageways and adjacent footways adopted for maintenance."
"Ashley Place","Bonnington","Adopted","ASHLEY PLACEFrom NEWHAVEN ROAD  a Cul-de-Sac extending north-eastwards.Carriageways and adjacent footways adopted for maintenance."
"Ashley Terrace","Polwarth","Adopted","ASHLEY TERRACEFrom north west side of POLWARTH TERRACE extending north-westwards to the centre line of the bridgeat Merchiston Stationat the south end of SHANDON PLACE.Carriageways and adjacent footways adopted for maintenance."
"Ashton Grove","Inch","Adopted","ASHTON GROVEFrom WALTER SCOTT AVENUE extending eastwards as a dual carriageway to BALDERSTON GARDENS.Carriageways and adjacent footways adopted for maintenance."
"Ashton Villas","Portobello East","Private","ASHTON VILLASPRIVATE STREET:  From BRUNSTANE ROAD extending westwards, a cul-de-sac.Not included for maintenance under the List of Public Roads.NOTE: Nos 1 and 2 ASHTON VILLAS face onto Brunstane Road which IS adopted for maintenance"
"Ashville Terrace","Lochend","Adopted","ASHVILLE TERRACEFrom WOODVILLE TERRACE extending both north-westwards and south-eastwards, a cul-de-sac.Carriageways and adjacent footways adopted for maintenance."
"Ashwood Gait","Clerwood","Prospectively Adopted","ASHWOOD GAITPROSPECTIVELY ADOPTABLE:Not as yet included for maintenance under the List of Public Roads"
"Assembly Street","South Leith","Adopted","ASSEMBLY STREETFrom CONSTITUTION STREET extending south-eastwards and north-eastwards to BALTICSTREET including a branch southward.Carriageways and adjacent footways adopted for maintenance."
