Image,Name,Address,Postcode,Telephone,Email,"Opening hours",Facilities,Background,"History and heritage",Wildlife,Geology,"Visitor information","Public Toilets","Book sports facilities","Organise an event","Getting involved","Other useful links","Green Flag","Management Plan","Why don't you?","Location map"
,"St Marks Park","Warriston Road","EH7 4HN","0131 529 5050",sfc.northneighbourhood@edinburgh.gov.uk,,"Play area
Community woodland
River walks
Water of Leith","This little park, on a bend of the Water of Leith, is built on reclaimed land. It has splendid views of the city and a small childrens play area.",,,,"On Lothian bus routes 11 or 36.",,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.968466680054874,-3.1923866271972656"
,"St Patrick's Square","St Patrick's Square","EH8 9EZ","0131 529 5151",sfc.southneighbourhood@edinburgh.gov.uk,,"Floral display","This small garden is located in Edinburgh’s Southside, on the edge of the Capital's World Heritage Site. Its trees and flower beds add a welcome splash of colour and greenery to this part of the city. The
garden is surrounded on three sides by a mixture of tenement flats and a variety of local shops. It also sits next to the former Odeon cinema and many years ago visitors to the garden would have witnessed the large queues which formed for blockbuster films.",,,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.94295165154051,-3.1838035583496094"
,"Starbank Park","Starbank Road","EH5 3BX","0131 529 5050",sfc.northneighbourhood@edinburgh.gov.uk,,"Gardens
Floral displays
Seating
Views","Starbank Park commands dramatic panoramas over the Firth of Forth to Fife. A great place top watch the passing ships and brightly coloured yachts. Within the park there are annual beds; one shaped in as a eight-pointed star and two crescents.These depict the 'Star of the Sea' belived to be symbolic of a ship's compass and harking back to the days when Forth sailormen navigated the oceans by the stars. At the back of the Starbank House, the level part of the park. is laid out formally with rose beds. ","Originally, Starbank House an dits gardens were the home of the Rev. Walter M. Goalen, founder and rector of little Christ Church in Trinity Road, now a private dwelling. In 1889, on the death of the Rev. Goalen, the old Leith Town Council bought the classical, two-storied Starbank House and its grounds, which at that time boasted a fine rose garden and tennis court. They were later linked with the gardens of Laverockbank House and renamed Starbank Public Park.",,,"Lothian bus routes 11, 16.",,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.979609210714784,-3.2012271881103516"
http://www.edinburgh.gov.uk/images/Station_Road_Park_dp_220x150.jpg,"Station Road Park","Station Road, South Queensferry","EH30 9HZ","0131 529 7440",sfc.westneighbourhood@edinburgh.gov.uk,,"Gardens
Seating","Located close to the centre of the historic old town of South Queensferry - Station Road Park is an attractive, small and secluded park. Formally the property of the Earl of Roseberry the gardens are in two sections of irregular-shaped lawns with rose beds and formal bedding displays. Shrubberies, which surround the lawns, have been planted with a wide range of plants to create year round interest. It holds a Green Flag in recognition of it being a quality greenspace.",,"A number of actions have been undertaken to improve the attractiveness of the park for wildlife. A butterfly/bumble bee garden was created to attract pollinators to the park. Bee nesting boxes have also been installed. The Girls Brigade built a number of bird boxes with the assistance of the Park ranger. An area of bulb grass is being experimented with to investigate ways to improve it's value for insects and mini-beasts.",,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>","<a href=""http://www.edinburgh.gov.uk/info/542/volunteering-general_information/761/friends_of_parks"">Friends of Parks</a>",,Yes,,,"55.98815604559067,-3.392457962036133"
,"Stenhouse Place East Park","Stenhouse Place East","EH11 3DL","0131 527 3800",sfc.southwestneighbourhood@edinburgh.gov.uk,,,"A small community park with play area, seating and grass areas.",,,,"On Lothian bus route 22.",,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.933304,-3.25998"
,"Straiton Place Park","Straiton Place","EH15 2BA","0131 529 3111",sfc.eastneighbourhood@edinburgh.gov.uk,,"Play area
Seating
Coastal views","A small grassed area set back off Portbello Promenade. There is a well-used toddlers play area and picnic benches.",,,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.953859,-3.109876"
,"Taylor Gardens","Taylor Gardens","EH6 6TG","0131 529 7061",citycentreteam@edinburgh.gov.uk,,"Play area
Seating","A small park at the end of Great Junction Street in Leith, with a play area for toddlers. There is a fine show of whitebeam that run round the boundary of the park.","Little Taylor Gardens was acquired by Edinburgh in 1920 under the Edinburgh Boundaries and Tramways Act. The Leith War Memorial, opened by Sir John Gilmour, then Secretary of State for Scotland in 1927, faces the park on the east side.",,,"On Lothian Bus routes 22 and 10.","Great Junction Street
Opening times: 10am-6pm. 
Baby changing facilities available.
Disabled 24hr access. All toilets for the disabled require a RADAR key for access.",,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.974182430748066,-3.1771087646484375"
,"Union Park","Saughton Road North","EH12 7EF","0131 529 7440",sfc.westneighbourhood@edinburgh.gov.uk,,"Rugby
Play area
Goals","Union Park is popular for sport and with local people for walking. The park is railed off and bordered by a hawthorn hedge and lime trees. There is also a well-used children's play area.","The park was acquired by the city in 1924.",,,"The park can be reached by Lothian Bus number 1.",,sportspitch@edinburghleisure.co.uk,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.93569289403262,-3.276500701904297"
,"Victoria Park","Newhaven Road","EH6 5PY","0131 529 5050",sfc.northneighbourhood@edinburgh.gov.uk,,"Two play areas
Ball court
Cycle route
Seating
Picnic tables","A lovely public park in the Trinity area of Edinburgh . Two good play areas; a small one for toddlers and a larger one for the older children. Lots of green areas to kick a ball about and a large circular path where many have learned to ride their first bike. The park has been awarded a Green Flag since 2011, in recognition of it being a quality greenspace.",,,,"Victoria Park is on the North Edinburgh Cycle Network, probably the only British urban network to get you across the city without meeting any motor traffic. It is also part of the National Cycle Network and North Sea Route . Spokes cycling maps also contain loads of useful information for cyclists planning to explore the city and surrounding areas.

It can also be reached by Lothian buses 21,11 or 14.",,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,"<a href=""http://www.spokes.org.uk"">Spokes website</a>","Since 2011",,,"55.97504692455578,-3.192472457885742"
http://www.edinburgh.gov.uk/images/WoL.JPG,"Water of Leith",,,"0131 529 2401",Naturalheritageservice@edinburgh.gov.uk,,,"The Water of Leith Walkway starts in Balerno (Bridge Road) and follows the Water of Leith as it winds its way 123/4 miles to Leith, where the river joins the Firth of Fourth.  On route it passes through the towns of Balerno, Currie and Juniper Green before reaching Colinton and Craiglockhart Dell.  The Dell is a wooded gorge which is a haven for wildlife; and the woodland dates back as far as 1750.  Downstream from the Dells the river passes the Water of Leith Conservation Trust Visitor Centre before flowing through Gorgie, Saughton Park, Roseburn – passed Murrayfield Stadium, Dean Village and Stockbridge before reaching Leith.  The Walkway is a popular route for walkers, cyclists and horse riders alike; it is used for recreation as well as commuting.","The river once powered up to 90 water mills providing paper, snuff, linen and flour– the remains of these can be seen in the weirs and buildings along the length of the river.  Now, the river and surrounding woodlands are home to a great variety of wildlife.
You may discover many old buildings along the Water of Leith, including two 18th Century grottos and Redhall Doocot.  Between Dean Village and Stockbridge you will see two mineral wells, one of which is St Georges Well, built in 1810.  St Bernard’s Well was discovered in 1760 and the Roman Temple was built in 1789, it became popular for the believed healing power of its mineral water.","Kingfishers nest along the banks of the river and can often be seen patrolling their territory.  Increasingly there is otter activity along the length of the river.

More than 80 species of birds, including a variety of finches, tits, dippers, wrens, herons and owls can be seen along the river.  On land; voles, frogs, rabbits, hares, weasels, stoats and foxes can be found.  You may also see roe deer in the Dells.",,"Water of Leith Conservation Trust
www.waterofleith.org.uk
For information regarding the fisheries or restocking please contact the Honorary Bailiffs
honorary_bailiffsassociation@hotmail.com
Please note that the path remains closed at Dean Village due to a landslide, which continues to be unstable. The path will remain closed until the landslip is made safe.","Toilets are located in the Water of Leith Conservation Trust Visitor Centre (see link for opening times and more details); public toilets are located at Stockbridge.",,,,"<a href=""http://www.waterofleith.org.uk"">Water of Leith Conservation Trust</a>",,,"Take a stroll along the banks and see if you can spot a heron","55.92354004379342,-3.24824488197919"
,"West Pilton Park","West Pilton Avenue","EH4 4BU","0131 529 5050",sfc.northneighbourhood@edinburgh.gov.uk,,"Play areas (toddler & junior)
Playing fields","West Pilton Gardens is spilt over two levels. The top levels has play areas for toddlers and juniors, while the lower section is given over to games and a football pitch.",,,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.970868358840484,-3.246288299560547"
,"Whinhill Park",,,"0131 527 3800",sfc.southwestneighbourhood@edinburgh.gov.uk,,,"As a neighbourhood park, Whinhill is much enjoyed by children and older people who use it for a quiet walk or to exercise their dogs.","Old quarries were once located here, but during the making of the Calder Road's dual carriage-way unwanted soil was dumped at Whinhill and grassed over.",,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.9274229831745,-3.273324966430664"
,"White Park","White Park","EH11 1TZ","0131 527 3800",sfc.southwestneighbourhood@edinburgh.gov.uk,,"Play area
Seating","Within earshot of Tynecastle, this tiny park is a welcome respite from traffic in a busy and densely-populated part of town. More than a rest area and children's safe playground than a park, it nonetheless provides an appreciated off-the-pavement oasis with a screen of cherry trees and a splash of colour from rose hedging.",,,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.937421,-3.231345"
